City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sabang,ID,5.8933,95.3214,82.47,74,46,11.18,scattered clouds
1,Yellowknife,CA,62.456,-114.3525,14.29,63,100,5.99,overcast clouds
2,Iqaluit,CA,63.7506,-68.5145,-5.31,70,18,15.99,few clouds
3,Ushuaia,AR,-54.8,-68.3,45.88,77,100,3.85,light rain
4,Saint-Pierre,RE,-21.3393,55.4781,78.48,91,0,4.61,clear sky
5,Baturaja,ID,-4.1333,104.1667,72.14,94,92,2.15,overcast clouds
6,Sitka,US,57.0531,-135.33,46.29,57,100,19.57,overcast clouds
7,Nikolskoye,RU,59.7035,30.7861,35.49,86,2,5.06,clear sky
8,Hermanus,ZA,-34.4187,19.2345,71.8,82,84,15.01,broken clouds
9,Mataura,NZ,-46.1927,168.8643,61.47,79,5,1.28,clear sky
10,Geraldton,AU,-28.7667,114.6,61.21,67,0,6.91,clear sky
11,Hilo,US,19.7297,-155.09,80.33,72,75,4.61,light rain
12,Chuy,UY,-33.6971,-53.4616,67.32,93,100,7.56,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,79.77,71,63,12.39,broken clouds
14,Bluff,NZ,-46.6,168.3333,59.47,85,5,5.64,clear sky
15,Esperance,AU,-33.8667,121.9,61.74,62,97,8.93,overcast clouds
16,Jamestown,US,42.097,-79.2353,51.03,23,100,5.01,overcast clouds
17,Victor Harbor,AU,-35.5667,138.6167,63.0,76,100,1.99,overcast clouds
18,Mar Del Plata,AR,-38.0023,-57.5575,67.87,90,60,11.99,broken clouds
19,Ngaoundere,CM,7.3167,13.5833,75.16,17,94,3.4,overcast clouds
20,Souillac,MU,-20.5167,57.5167,80.06,87,23,10.87,few clouds
21,Albany,US,42.6001,-73.9662,50.04,28,54,1.99,broken clouds
22,Kavieng,PG,-2.5744,150.7967,81.37,77,100,8.79,light rain
23,Lenguazaque,CO,5.3071,-73.7115,63.36,72,82,4.92,broken clouds
24,Dingle,PH,10.9995,122.6711,76.91,91,100,6.02,overcast clouds
25,Hobart,AU,-42.8794,147.3294,53.46,78,20,12.66,few clouds
26,Callaway,US,30.153,-85.5699,76.91,70,75,24.16,broken clouds
27,Butaritari,KI,3.0707,172.7902,81.25,74,63,20.62,broken clouds
28,Oga,IT,46.4631,10.347,34.68,70,0,2.33,clear sky
29,Aban,RU,56.67,96.06,21.61,93,100,6.24,overcast clouds
30,Hithadhoo,MV,-0.6,73.0833,83.23,75,1,14.88,clear sky
31,Narsaq,GL,60.9167,-46.05,21.42,69,100,3.2,overcast clouds
32,Ribeira Grande,PT,38.5167,-28.7,59.4,82,40,9.22,scattered clouds
33,Saint-Philippe,RE,-21.3585,55.7679,78.39,89,62,9.08,broken clouds
34,Mount Isa,AU,-20.7333,139.5,67.77,56,99,0.0,overcast clouds
35,Punta Arenas,CL,-53.15,-70.9167,51.91,43,0,20.71,clear sky
36,Ulladulla,AU,-35.35,150.4667,68.9,90,100,6.93,overcast clouds
37,Kolyvan,RU,55.3053,82.7391,19.02,98,93,7.72,overcast clouds
38,Saldanha,ZA,-33.0117,17.9442,69.33,79,100,4.74,light rain
39,Dikson,RU,73.5069,80.5464,7.34,89,100,17.2,overcast clouds
40,Vigrestad,NO,58.5667,5.7,37.58,83,1,3.51,clear sky
41,Tuma,RU,55.148,40.5537,28.71,97,0,4.21,clear sky
42,Thompson,CA,55.7435,-97.8558,26.76,93,100,4.61,overcast clouds
43,Barrow,US,71.2906,-156.7887,-20.18,83,0,12.66,clear sky
44,Yumen,CN,40.2833,97.2,38.88,53,54,7.11,broken clouds
45,Roald,NO,62.5833,6.1333,43.75,93,0,3.44,clear sky
46,Nanortalik,GL,60.1432,-45.2371,22.28,73,100,8.5,overcast clouds
47,Atuona,PF,-9.8,-139.0333,79.34,78,100,16.4,overcast clouds
48,Castro,BR,-24.7911,-50.0119,66.72,76,66,5.53,broken clouds
49,Tiksi,RU,71.6872,128.8694,-14.1,97,81,4.63,broken clouds
50,Vaini,TO,-21.2,-175.2,80.13,71,100,7.96,overcast clouds
51,Bako,ET,5.7833,36.5667,66.9,65,63,4.23,light rain
52,Aklavik,CA,68.2191,-135.0107,-2.2,87,100,10.63,overcast clouds
53,Port Keats,AU,-14.25,129.55,79.81,84,100,1.57,overcast clouds
54,Cidreira,BR,-30.1811,-50.2056,73.15,77,100,24.87,overcast clouds
55,Fairmont,US,39.4851,-80.1426,67.3,39,100,1.01,overcast clouds
56,Deputatskiy,RU,69.3,139.9,-4.22,97,100,4.27,overcast clouds
57,Vanino,RU,49.0869,140.2543,16.56,88,10,5.97,clear sky
58,Segovia,ES,41.1667,-4.0,41.43,87,100,10.42,overcast clouds
59,Tilichiki,RU,60.4667,166.1,21.54,95,98,7.81,overcast clouds
60,Port Lincoln,AU,-34.7333,135.8667,61.52,76,100,15.23,overcast clouds
61,Khatanga,RU,71.9667,102.5,-12.01,97,100,3.62,overcast clouds
62,Bluefields,NI,12.0137,-83.7635,81.18,74,87,9.08,overcast clouds
63,Lavrentiya,RU,65.5833,-171.0,9.1,82,84,2.59,broken clouds
